"year","treatment","ID","name","value"
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.8","internal",1
"2019","Untreated","11.8","C02",1
"2019","Untreated","11.8","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
"2019","Untreated","11.15","radial",1
"2019","Untreated","11.15","internal",1
"2019","Untreated","11.15","C02",1
